Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.512674531540059,0.000153014474687185,-0.050898093669952,0,0,0,19.1857141768798,0.306910302250378,-0.000859429568991598,-6.54892569443388E-10,1.21011395991777,-1.84958226856854E-10,1.51472867661581,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,chassi-2;chassi-1;FW axel-2;FW axel-1;FW axel-4;FW axel-3;rear axel-1,Coordinate System3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RearWheelLink,0.000948144504491211,-0.241806141125486,-2.22044604925031E-16,0,0,0,1.93947210686836,0.00677424703879588,-2.32901067750332E-05,-7.11626362833658E-08,0.0127138524806755,-2.79035355661413E-10,0.00677396797023345,0,0,0,0,0,0,package://Assem1/meshes/RearWheelLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/RearWheelLink.STL,,wheel-4;wheel-1,Coordinate System5,Axis1,RearWheelJoint,revolute,-0.7836,0.24183,-0.057144,0,0,0,base_link,-0.0039211,0.99999,0,0,0,0,0,,,,,,,,
FrontRightWheelLink,0.000641271779954732,0.0281208296775413,2.11071373823479E-07,0,0,0,1.03741013370022,0.00349565083995949,6.53432629648742E-05,-5.42230800612793E-08,0.0063610036154418,1.22628256521874E-09,0.00349433435996735,0,0,0,0,0,0,package://Assem1/meshes/FrontRightWheelLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/FrontRightWheelLink.STL,,wheel-2;axel-1,Coordinate System7,Axis3,FrontRightWheelJoint,revolute,-0.12294,-0.24127,-0.057153,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
FrontRightROtateLink,0.000578786386318815,0.0253934047799623,1.11022302462516E-16,0,0,0,0.969736053434178,0.00338855006783689,6.76585972290175E-05,-5.42162701930126E-08,0.00635542977389955,1.23573972851785E-09,0.00338705390311594,0,0,0,0,0,0,package://Assem1/meshes/FrontRightROtateLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/FrontRightROtateLink.STL,,wheel-2,Coordinate System7,Axis2,FrontRightRotateJoint,continuous,0,0,0,0,0,0,FrontRightWheelLink,0.022787,0.99974,0,0,3.14,,,,,,,,,,
FrontLeftWheelLink,-0.000640874872750621,-0.0281208387241613,-3.74475280451314E-07,0,0,0,1.03741013370022,0.00349572801412387,6.53416039769622E-05,2.29870879986147E-08,0.00636100365097488,-5.33552105019425E-10,0.00349425715026989,0,0,0,0,0,0,package://Assem1/meshes/FrontLeftWheelLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/FrontLeftWheelLink.STL,,wheel-3;axel-2,Coordinate System4,Axis5,FrontLeftWheelJoint,revolute,-0.11715,0.24229,-0.057144,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
FrontLeftWheelRotateLink,-0.000578786386318822,-0.0253934047799623,0,0,0,0,0.969736053434178,0.00338862723744388,6.76568383188489E-05,2.29807160886008E-08,0.00635542981399,-5.23794492231945E-10,0.00338697669341849,0,0,0,0,0,0,package://Assem1/meshes/FrontLeftWheelRotateLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1/meshes/FrontLeftWheelRotateLink.STL,,wheel-3,Coordinate System4,Axis4,FrontLeftWheelRotateJoint,prismatic,0,0,0,0,0,0,FrontLeftWheelLink,-0.022787,-0.99974,0,0,3.14,0,0,,,,,,,,
